Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau 2 Seat avec 2 Tirroir;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/001;;;;;3;0,3333;;;;;;;;;;;;;;;
Table noir avec tirroir ;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/002;;;;;3;0,3333;;;;;;;;;;;;;;;
Armoire ;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/003;;;;;3;0,3333;;;;;;;;;;;;;;;
Armoire ;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/004;;;;;3;0,3333;;;;;;;;;;;;;;;
Imprimante Hp117 A;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/005;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur fixes HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/006;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur fixes HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/007;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil grand Special ;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/008;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/009;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	3 025 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/010;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/011;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/012;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU DU CHEF DU PERSONNEL ;TA/244200/2023/3002/013;;;;;;;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/014;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/015;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/016;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/017;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/018;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/019;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/020;;;;;;;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;BUREAU DU CHEF DU PERSONNEL ;TA/244400/2023/3002/021;;;;;;;;;;;;;;;;;;;;;
