Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/018;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/019;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/020;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/021;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Table Partition ;244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/022;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
File cabinet 120*40200walnut gre (armoire);244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/023;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Table Uniques ;244400;MOBILIER DE BUREAU ;BUREAU SECRETARIA DGA;TA/244400/2023/0002/024;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Imprimante hp;244200;MATERIEL INFORMATIQUE ;BUREAU SECRETARIA DGA;TA/244200/2023/0002/025;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Imprimante hp;244200;MATERIEL INFORMATIQUE ;BUREAU SECRETARIA DGA;TA/244200/2023/0002/026;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU SECRETARIA DGA;TA/244200/2023/0002/027;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;BUREAU SECRETARIA DGA;TA/244200/2023/0002/028;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Fixe ;244200;MATERIEL INFORMATIQUE ;BUREAU SECRETARIA DGA;TA/244200/2023/0002/029;;;;; 	3,00 ;;;;;;;;;;;;;;;;
