Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/001;;;;;3;0,3333;;;;;;;;;;;;;;;
Bureau Partition 4 Seat 240 CM WHM Declasse;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/002;;;;;3;0,3333;;;;;;;;;;;;;;;
Table Noir ;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/003;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/004;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/005;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/006;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/007;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/008;;;;;;;;;;;;;;;;;;;;;
Fauteuil special;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/009;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil special;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/010;;;;;3;0,3333;;;;;;;;;;;;;;;
Bureau Partition 2 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;COMMUNICATION ;TA/244400/2023/0007/011;;;;;3;0,3333;;;;;;;;;;;;;;;
Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2024/0007/012;ABS;8/3/24;;;3;0,3333; 	2 422 500,00 FC ;;;;;;;;;;;;;;
Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2024/0007/013;ABS;8/3/24;;;3;0,3333; 	2 422 500,00 FC ;;;;;;;;;;;;;;
Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2024/0007/014;ABS;8/3/24;;;3;0,3333; 	2 422 500,00 FC ;;;;;;;;;;;;;;
Appareil Photo;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2024/0007/015;ABS;8/8/24;8/8/24;8/8/27;3;0,3333; 	8 122 500,00 FC ;;;;;;;;;;;;;;
Trepied;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/016;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Fixes ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/017;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Fixes ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/018;;;;;3;0,3333;;;;;;;;;;;;;;;
Imprimante HP;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/019;ALPHA ;2/17/23;2/17/23;2/17/27;3;0,3333; 	522 500,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable LENOVO;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/020;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	4 675 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/021;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	3 025 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/022;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	3 025 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/023;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	3 025 000,00 FC ;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;TA/244200/2023/0007/024;ETS Info et Comm.Tech;3/17/23;3/17/23;3/17/27;3;0,3333; 	3 025 000,00 FC ;;;;;;;;;;;;;;
