Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 4 avec de Trroir;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/001;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Bureau Fine Cabine Uniques;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/002;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Ordinateur Fixes ;244200;MATERIEL INFORMATIQUE ;SERVICE DE COMPT ET FISC;TA/244200/2023/4002/003;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/004;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/005;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/006;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Split Hisenses ;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/007;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/008;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/009;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/010;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/011;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/012;;;;;;;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/013;;;;;;;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/014;;;;;;;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE COMPT ET FISC;TA/244400/2023/4002/015;;;;;;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;SERVICE DE COMPT ET FISC;TA/244200/2023/4002/016;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;SERVICE DE COMPT ET FISC;TA/244200/2023/4002/017;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;SERVICE DE COMPT ET FISC;TA/244200/2023/4002/018;;;;;;;;;;;;;;;;;;;;;
