;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Colonne1;Colonne2;Colonne3;Colonne4;Colonne5;Colonne6;Colonne7;Colonne8;Colonne9;Colonne10;Colonne11;Colonne12;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 368 000,00 FC 
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	769 500,00 FC 
;GODOX KIT TTL V1;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	1 026 000,00 FC 
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	2 223 000,00 FC 
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	2 223 000,00 FC 
;FIREWAY M40;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	541 500,00 FC 
;SUPPORT PROFESSIONNEL POUR CAMERA;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;8/3/24;8/3/24;8/3/27; 	3,00 ;0,03; 	3 847 500,00 FC 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;SUMI V2 PRO ZIRELESS DATA POS;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1368000
;ZOOM HANDY RECOVER ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;769500
;GODOX KIT TTL V1;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;1026000
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;2223000
;WIRELESS PRO COMPACT MIVROPHONE ;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;2223000
;FIREWAY M40;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;541500
;SUPPORT PROFESSIONNEL POUR CAMERA;244200;MATERIEL INFORMATIQUE;INFORMATIQUE;;;ABS;45507;45507;46602;3;0,03;3847500
