Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/001;;;;;3;0,3333;;;;;;;;;;;;;;;
Bureau Partition 4 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/002;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/003;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/004;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/005;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/006;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/007;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/008;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/009;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/010;;;;;3;0,3333;;;;;;;;;;;;;;;
Imprimante pour Cartes en Panne ;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/011;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Mack book;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/012;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Mack book;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/013;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Mack book;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/014;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/015;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur LENOVO;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/016;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur LENOVO;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/017;;;;;3;0,3333;;;;;;;;;;;;;;;
Television LG 64 POUCES Smart ;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;TA/244200/2023/0005/018;;;;;3;0,3333;;;;;;;;;;;;;;;
Table Modeles Evelyn;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/019;;;;;3;0,3333;;;;;;;;;;;;;;;
Grande chaises Special ;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/020;;;;;3;0,3333;;;;;;;;;;;;;;;
(1 Rack +3Routeur +2 Repetiteur /Serveur );244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244400/2023/0005/021;;;;;3;;;;;;;;;;;;;;;;
Extender ;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244200/2024/0005/022;ABS;8/3/24;;;3;; 	2 422 500,00 FC ;;;;;;;;;;;;;;
Extender ;244400;MOBILIER DE BUREAU ;INFORMATIQUE;TA/244200/2024/0005/023;ABS;8/3/24;;;3;; 	2 422 500,00 FC ;;;;;;;;;;;;;;
