Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau 2 Seat avec 6 Tirroire;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/001;;;;;3;0,3333;;;;;;;;;;;;;;;
Bureau 2 Seat avec 6 Tirroire;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/002;;;;;3;0,3333;;;;;;;;;;;;;;;
Bureau 2 Seat avec 6 Tirroire;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/003;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR Black RE;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/004;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR Black RE;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/005;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/006;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/007;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/008;;;;;3;0,3333;;;;;;;;;;;;;;;
Fauteuil avec Roulettes;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/009;;;;;3;0,3333;;;;;;;;;;;;;;;
Armoire ;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/010;;;;;3;0,3333;;;;;;;;;;;;;;;
Armoire ;244400;MOBILIER DE BUREAU ;SERVICE GENERAUX ;TA/244400/2023/3005/011;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE ;SERVICE GENERAUX ;TA/244200/2023/3005/012;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE ;SERVICE GENERAUX ;TA/244200/2023/3005/013;;;;;3;0,3333;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE ;SERVICE GENERAUX ;TA/244200/2023/3005/014;;;;;3;0,3333;;;;;;;;;;;;;;;
Imprimante HP;244200;MATERIEL INFORMATIQUE ;SERVICE GENERAUX ;TA/244200/2023/3005/015;;;;;3;0,3333;;;;;;;;;;;;;;;
Imprimante HP en Panne;244200;MATERIEL INFORMATIQUE ;SERVICE GENERAUX ;TA/244200/2023/3005/016;;;;;;;;;;;;;;;;;;;;;
