Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau Partition 2 Seat 240 CM WHM;244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/001;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/002;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/003;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/004;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/005;;;;;;;;;;;;;;;;;;;;;
Chaise bureau black (2CL=3AC) (T26);244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/006;;;;;;;;;;;;;;;;;;;;;
Table Noir;244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/007;;;;;;;;;;;;;;;;;;;;;
Table Noir;244400;MOBILIER DE BUREAU ;SERVICE JURIDIQUE ET AUDIT ;TA/244400/2023/0006/008;;;;;;;;;;;;;;;;;;;;;
Ordinateur LENOVO;244200;MATERIEL INFORMATIQUE;SERVICE JURIDIQUE ET AUDIT ;TA/244200/2023/0006/009;;;;;;;;;;;;;;;;;;;;;
Ordinateur HP;244200;MATERIEL INFORMATIQUE;SERVICE JURIDIQUE ET AUDIT ;TA/244200/2023/0006/010;;;;;;;;;;;;;;;;;;;;;
Ordinateur HP;244200;MATERIEL INFORMATIQUE;SERVICE JURIDIQUE ET AUDIT ;TA/244200/2023/0006/011;;;;;;;;;;;;;;;;;;;;;
