;Désignation;Compte;Rubrique;Emplacement;Colonne1;Code d'idenification;FOURNISSEUR;Date d'achat;Mis en service;Fin amort.;Durée;Cout d'acquisition en USD ;Taux USD / CDF ;Taux d'amortissement ;Cout d'acquisition en CDF ;mois;prorata;Amortissement 2023;Cumul Amort 2023;VNC 2023;Amortissement 2024;Cumul Amort 2024;VNC 2024;Coéfficient de Révaluation;VBR;CV;AR;CA;SA;ER;
22;Extender ;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;;TA/244200/2024/0005/022;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 422 500,00 FC ;8;5;;;; 	336 458,33 FC ;336 458,33;2086041,66666667;1,03;2 495 175,00; 	72 675,00 FC ; 	346 552,08 FC ; 	10 093,75 FC ;0; 	62 581,25 FC ;
23;Extender ;244200;MATERIEL INFORMATIQUE ;INFORMATIQUE;;TA/244200/2024/0005/023;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 422 500,00 FC ;8;5;;;; 	336 458,33 FC ;336 458,33;2086041,66666667;1,03;2 495 175,00; 	72 675,00 FC ; 	346 552,08 FC ; 	10 093,75 FC ;0; 	62 581,25 FC ;
35;Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;;TA/244200/2024/0007/012;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 422 500,00 FC ;8;5;;;; 	336 458,33 FC ;336 458,33;2086041,66666667;1,03;2 495 175,00; 	72 675,00 FC ; 	346 552,08 FC ; 	10 093,75 FC ;0; 	62 581,25 FC ;
36;Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;;TA/244200/2024/0007/013;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 422 500,00 FC ;8;5;;;; 	336 458,33 FC ;336 458,33;2086041,66666667;1,03;2 495 175,00; 	72 675,00 FC ; 	346 552,08 FC ; 	10 093,75 FC ;0; 	62 581,25 FC ;
37;Extender ;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;;TA/244200/2024/0007/014;ABS;3/08/2024;3/08/24;3/08/2027;3,00;;2800,00;33,33; 	2 422 500,00 FC ;8;5;;;; 	336 458,33 FC ;336 458,33;2086041,66666667;1,03;2 495 175,00; 	72 675,00 FC ; 	346 552,08 FC ; 	10 093,75 FC ;0; 	62 581,25 FC ;
38;CAMERA SONY A 6700;244200;MATERIEL INFORMATIQUE ;COMMUNICATION ;;TA/244200/2024/0007/015;ABS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	8 108 250,00 FC ;8;5;;;; 	1 126 145,83 FC ;1 126 145,83;6982104,16666667;1,03;8 351 497,50; 	243 247,50 FC ; 	1 159 930,21 FC ; 	33 784,38 FC ;0; 	209 463,13 FC ;
101;Armoire en Bois ;244400;MOBILIER DE BUREAU ;SEC DIR FINANCIER ;;TA/244400/2023/4001/006;NZUZI KHONDE;23/04/2024;23/04/24;23/04/2027;3,00;;;33,33; 	357 500,00 FC ;4;9;;;; 	89 375,00 FC ;89 375,00;268125;1,08;386 100,00; 	28 600,00 FC ; 	96 525,00 FC ; 	7 150,00 FC ;0; 	21 450,00 FC ;
110;Fauteuil DG Special Office chair 69*66,5*122.5 brown PU;244400;MOBILIER DE BUREAU ;BUREAU DG;;TA/244400/2024/0010/003;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	770 000,00 FC ;8;5;;;; 	106 944,44 FC ;106 944,44;663055,555555556;1,03;793 100,00; 	23 100,00 FC ; 	110 152,78 FC ; 	3 208,33 FC ;0; 	19 891,67 FC ;
;Fauteuil DG Special Office chair 69*66,5*122.5 brown PU;244400;MOBILIER DE BUREAU ;BUREAU DG;;;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	770 000,00 FC ;8;5;;;; 	106 944,44 FC ;106 944,44;663055,555555556;1,03;793 100,00; 	23 100,00 FC ; 	110 152,78 FC ; 	3 208,33 FC ;0; 	19 891,67 FC ;
;Table de bureau;244400;MOBILIER DE BUREAU ;BUREAU DG;;;DREAMS;8/08/2024;8/08/24;8/08/2027;3,00;;2800,00;33,33; 	238 000,00 FC ;8;5;;;; 	33 055,56 FC ;33 055,56;204944,444444445;1,03;245 140,00; 	7 140,00 FC ; 	34 047,22 FC ; 	991,67 FC ;0; 	6 148,33 FC ;
