Désignation;Compte;Column1;Departement ;Nomination ;FOURNISSEUR;Date d'achat;Déb. amort.;Fin amort.;Durée;Taux;Valeur Bilan;Column2;Column3;Column4;Column5;Cumul Amort. début;Dotation Amort.;Dépréciation;Rep. dép./sortie;Cumul Amort. fin;Column6;Column7;Column8;Column9;Column10
Bureau partition 2seat 140cm waln ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/001;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Office table 120*60*75*CL Ref kt ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/002;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Ordinateur Fixes HP;244200;MATERIEL INFORMATIQUE ;SERVICE DE TRESORERIE ;TA/244200/2023/4003/003;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Ordinateur Portable HP;244200;MATERIEL INFORMATIQUE ;SERVICE DE TRESORERIE ;TA/244200/2023/4003/004;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Imprimantes Hp;244200;MATERIEL INFORMATIQUE ;SERVICE DE TRESORERIE ;TA/244200/2023/4003/005;;;;; 	3,00 ;;;;;;;;;;;;;;;;
Coffres Fort ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/006;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Compteur de Monnaie ;244200;MATERIEL INFORMATIQUE ;SERVICE DE TRESORERIE ;TA/244200/2023/4003/007;Orange Computer ;2/17/23;2/17/23;2/17/27; 	3,00 ;33 %; 	962 500,00 FC ;;;;;;;;;;;;;;
Ondulleur/ KIWI;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/008;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/009;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/010;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Fauteuil de Bureau PU CLR BLACK RE;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/011;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/012;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
Armoire en Bois ;244400;MOBILIER DE BUREAU ;SERVICE DE TRESORERIE ;TA/244400/2023/4003/013;;;;; 	3,00 ;33 %;;;;;;;;;;;;;;;
